datetime,proba,y_true,pred,discharge_cms,rain_mm,rain_sum_12h,dis_lag_1h,dis_rate_1h
2019-05-04 12:00:00,0.999902596579135,0.0,1,2.176,0.0,0.0,2.176,0.0
2014-03-04 00:00:00,0.9995482052594364,0.0,1,3.38,0.0,92.4,3.044,0.33599999999999985
2014-02-14 17:00:00,0.9993941718246104,0.0,1,3.38,0.0,16.2,3.38,0.0
2014-02-14 18:00:00,0.9988834245835349,0.0,1,3.38,0.0,5.0,3.38,0.0
2019-03-29 13:00:00,0.9985995951402009,0.0,1,4.392,0.892694064,7.155707763,4.392,0.0
2019-02-02 00:00:00,0.9981088872995784,0.0,1,14.12,0.0,0.0,14.56,-0.4400000000000013
2023-01-19 06:00:00,0.9980023793784654,0.0,1,7.98,0.0,0.0,7.98,0.0
2024-12-24 08:00:00,0.997864359185872,0.0,1,4.576,2.423744292,2.6968036530000017,4.576,0.0
2019-02-02 01:00:00,0.9977759782147887,0.0,1,14.56,0.0,0.0,14.12,0.4400000000000013
2019-02-05 22:00:00,0.9968545872738865,0.0,1,8.458,1.853881279,2.668493151,8.458,0.0
2024-12-09 09:00:00,0.9966392358954713,0.0,1,4.576,0.0,0.09269406400000178,4.76,-0.18400000000000016
2024-11-13 14:00:00,0.9957522944387257,0.0,1,4.208,0.0,0.0,4.208,0.0
2014-11-15 08:00:00,0.9924644852054005,0.0,1,3.48,0.0,12.0,3.86,-0.3799999999999999
2019-05-04 06:00:00,0.9908725249740375,0.0,1,2.176,0.0,0.0,2.176,0.0
2014-01-20 00:00:00,0.9891522695289907,0.0,1,3.344,0.0,0.0,3.344,0.0
2019-01-10 22:00:00,0.9889097319277059,0.0,1,21.5,0.741552511,2.970776255,21.5,0.0
2019-01-09 18:00:00,0.9888644478195319,0.0,1,21.5,0.0,0.0,21.5,0.0
2014-03-09 17:00:00,0.9864143813212983,0.0,1,3.29,0.0,0.2,3.29,0.0
2014-03-09 18:00:00,0.9791850097273713,0.0,1,3.29,0.0,0.2,3.29,0.0
2019-11-26 20:00:00,0.9724786931855209,0.0,1,7.168,0.0,1.5415525120000009,7.168,0.0
