datetime,proba,y_true,pred,discharge_cms,rain_mm,rain_sum_12h,dis_lag_1h,dis_rate_1h
2019-01-01 22:00:00,0.00042784605431379447,1.0,0,28.4,1.9384191176470589,77.07755190311418,38.86,-10.46
2018-12-15 00:00:00,0.007996520389367226,1.0,0,0.759,0.0,7.753968425605541,0.759,0.0
2024-02-12 21:00:00,0.00883787303445538,1.0,0,0.424,0.6846128892733563,7.592128027681659,0.424,0.0
2017-03-07 15:00:00,0.010246541183617473,1.0,0,0.807,0.0,0.0,0.744,0.06300000000000006
2021-02-05 01:00:00,0.01206972088088489,1.0,0,1.204,0.0,0.0,1.204,0.0
2018-12-15 17:00:00,0.014231920581410148,1.0,0,1.27,0.0,4.092290224913499,1.27,0.0
2018-11-19 02:00:00,0.024322459420274247,1.0,0,0.379,2.9308715397923875,33.70045415224914,0.379,0.0
2017-03-07 16:00:00,0.0657096624470549,1.0,0,1.122,0.1230968858131488,0.12309688581315013,0.807,0.31500000000000006
2016-03-25 21:00:00,0.12886430349850994,1.0,0,1.39,0.0307742214532872,13.199902681660898,1.39,0.0
2024-12-01 20:00:00,0.21523035860349485,1.0,0,0.101,4.838321799307958,42.76135380622837,0.066,0.035
2018-12-16 10:00:00,0.552495304245199,1.0,0,15.32,0.0,59.73728373702423,22.46,-7.140000000000001
2018-12-15 06:00:00,0.5855645380643107,1.0,0,1.59,0.3615484429065744,7.100129757785471,1.73,-0.1399999999999999
2018-12-15 05:00:00,0.6427250393142309,1.0,0,1.73,0.0307742214532872,8.26938797577855,2.0,-0.27
2018-02-22 04:00:00,0.7088913939771031,1.0,0,1.37,0.3461937716262976,7.269258217993082,1.27,0.10000000000000009
2018-12-18 17:00:00,0.7194076824164825,1.0,0,14.01,0.0153871107266436,21.546258650519036,21.44,-7.4300000000000015
2016-03-20 23:00:00,0.8991428595071923,1.0,0,1.46,0.0,0.0,1.46,0.0
2018-03-25 22:00:00,0.9015516001930046,1.0,0,1.73,0.3384515570934256,4.584483131487891,1.86,-0.13000000000000012
2018-03-24 22:00:00,0.9076202964522245,1.0,0,1.73,0.0846128892733564,6.069128460207614,1.73,0.0
2024-12-08 19:00:00,0.9140169548605506,1.0,0,1.4,0.3384515570934256,21.638451557093425,1.27,0.1299999999999999
2024-03-05 23:00:00,0.9146048913773684,1.0,0,1.53,1.7461613321799303,32.607709775086505,1.66,-0.1299999999999999
