variant,ap,recall,precision,acc,FP,FN
XGB only,0.9982829579360564,0.9665629860031104,0.9928115015974441,0.9920996657550897,9,43
+Stack (no LGBM/LSTM),0.9948479055985617,0.9836702954898912,0.9829059829059829,0.9934670312974779,22,21
+LGBM,0.9953292715658006,0.9836702954898912,0.9836702954898912,0.9936189608021878,21,21
+LSTM,0.994943276668665,0.9836702954898912,0.9836702954898912,0.9936189608021878,21,21
