datetime,proba,y_true,pred,discharge_cms,rain_mm,rain_sum_12h,dis_lag_1h,dis_rate_1h
2014-11-13 22:00:00,0.002070787863514473,1.0,0,0.389,0.0,0.0,0.389,0.0
2014-11-13 23:00:00,0.0021266815417120034,1.0,0,0.389,0.0,0.0,0.389,0.0
2014-01-25 15:00:00,0.010543736103230388,1.0,0,1.91,0.4,24.6,1.91,0.0
2015-04-23 20:00:00,0.010785904184594165,1.0,0,3.09,0.0,0.0,3.262,-0.17200000000000015
2014-01-25 16:00:00,0.018906618668134874,1.0,0,2.312,1.2,22.0,1.91,0.4019999999999999
2019-11-29 18:00:00,0.15441503756315642,1.0,0,7.168,0.0,0.0,7.168,0.0
2014-11-14 01:00:00,0.32455226128889403,1.0,0,3.29,0.0,0.0,3.29,0.0
2014-06-06 11:00:00,0.34833170360935184,1.0,0,6.51,0.0,0.2,0.67,5.84
