station,threshold,acc,precision,recall,ap,tn,fp,fn,tp
D08A071,0.5,0.9956947162426615,0.9822820694542878,0.994261119081779,0.9886611318436511,6246,25,8,1386
D08A084,0.533,0.9909280500521377,0.9187432286023836,0.986046511627907,0.9750334857826777,8655,75,12,848
D08A115,0.932,0.9936189608021878,0.9836702954898912,0.9836702954898912,0.994943276668665,5275,21,21,1265
